State,District,Block/Tehsil,Village,No. of Surface lift Schemes according to the annual cost of maintenance - Upto Rs. 1000,No. of Surface lift Schemes according to the annual cost of maintenance - Rs.1000 to 10000 ,No. of Surface lift Schemes according to the annual cost of maintenance - Rs.10000 to 50000,No. of Surface lift Schemes according to the annual cost of maintenance - Rs.50000 to 100000,No. of Surface lift Schemes according to the annual cost of maintenance - More than Rs. 100000
CHHATISGARH,Balrampur,Ramnujganj,Indiravatipur,25,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Indrapur,19,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Jamvantpur,0,3,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,jhara,12,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Kalikapur,37,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Kameshwarnagar,15,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Kanakpur,0,37,3,0,0
CHHATISGARH,Balrampur,Ramnujganj,Kevali,3,20,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Krishnanagar,45,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Kundpan,15,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Kunduru,11,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Kurludih,1,6,4,0,0
CHHATISGARH,Balrampur,Ramnujganj,Kusafar,27,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Larima,1,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Lava,16,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,libra,0,4,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Lurgi,0,9,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Mahadevpur,14,3,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Maharaniganj,0,69,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Marma,38,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Medhuli,4,38,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Minuvakhad,2,13,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Mitgai,43,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Nagra,48,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Nawadih,27,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Nehrunagar,16,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Neurganj,6,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,nilkanthpur,0,7,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Oranga,13,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Palgi,1,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Panchval,36,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Parhiyadih,7,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Phoolvaar(viran),0,7,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Piparpan,21,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Pipraul,27,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Purshottampur,0,13,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,radhanagar,30,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Ramanujganj,1,12,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Ramchandrapur,17,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,rampur,0,5,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Revatipur,13,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Salvahi,0,4,5,0,0
CHHATISGARH,Balrampur,Ramnujganj,Sanaval,31,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Semrava,5,6,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Shivpur,0,8,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,silaju,11,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Subhashnagar,4,12,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Sunderpur,9,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Surangpan,0,12,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,tameshwarpur,3,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Tarkeshwarpur,23,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Tatipathar,0,2,4,0,1
CHHATISGARH,Balrampur,Ramnujganj,Tendua,5,1,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Tikidiri,0,2,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Titardih,0,7,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Trikunda,13,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Trisuli,18,0,0,0,0
CHHATISGARH,Balrampur,Ramnujganj,Vijaynagar,100,0,0,0,0
CHHATISGARH,Balrampur,Samri,Amtahi,5,0,0,0,0
CHHATISGARH,Balrampur,Samri,Baskepi,3,0,0,0,0
CHHATISGARH,Balrampur,Samri,Bata,4,0,0,0,0
CHHATISGARH,Balrampur,Samri,Benipur,4,0,0,0,0
CHHATISGARH,Balrampur,Samri,Bhagwanpur,1,0,0,0,0
CHHATISGARH,Balrampur,Samri,Bhavanipur,4,1,0,0,0
CHHATISGARH,Balrampur,Samri,Bhojpur,1,0,0,0,0
CHHATISGARH,Balrampur,Samri,Chando,3,0,0,0,0
CHHATISGARH,Balrampur,Samri,Charhatkhurd,4,0,0,0,0
CHHATISGARH,Balrampur,Samri,Chatniya,7,0,0,0,0
CHHATISGARH,Balrampur,Samri,Chirai,3,0,0,0,0
CHHATISGARH,Balrampur,Samri,Devri,14,0,0,0,0
CHHATISGARH,Balrampur,Samri,Dhaneshpur,1,0,0,0,0
CHHATISGARH,Balrampur,Samri,Dumarkholi,3,0,0,0,0
CHHATISGARH,Balrampur,Samri,Gajadharpur,7,0,0,0,0
CHHATISGARH,Balrampur,Samri,Gautampur,1,0,0,0,0
CHHATISGARH,Balrampur,Samri,Gopatu,5,0,0,0,0
CHHATISGARH,Balrampur,Samri,Gopinagar,7,0,0,0,0
CHHATISGARH,Balrampur,Samri,Govindpur,6,0,0,0,0
CHHATISGARH,Balrampur,Samri,Idripat,7,0,0,0,0
CHHATISGARH,Balrampur,Samri,Jaljali,3,0,0,0,0
CHHATISGARH,Balrampur,Samri,Jamira,9,0,0,0,0
CHHATISGARH,Balrampur,Samri,jariyon,4,0,0,0,0
CHHATISGARH,Balrampur,Samri,Jawaharnagar,0,9,0,0,0
CHHATISGARH,Balrampur,Samri,Jiganiya,4,0,0,0,0
CHHATISGARH,Balrampur,Samri,Jirhul,2,0,0,0,0
CHHATISGARH,Balrampur,Samri,Jodhpur,2,0,0,0,0
CHHATISGARH,Balrampur,Samri,Kamlapur,0,4,0,0,0
CHHATISGARH,Balrampur,Samri,Kandri,3,0,0,0,0
CHHATISGARH,Balrampur,Samri,Kanjiya,2,0,0,0,0
CHHATISGARH,Balrampur,Samri,Karcha,3,0,0,0,0
CHHATISGARH,Balrampur,Samri,Karkalipaschim,10,0,0,0,0
CHHATISGARH,Balrampur,Samri,Karkalipurv,4,0,0,0,0
CHHATISGARH,Balrampur,Samri,Kedli,7,0,0,0,0
CHHATISGARH,Balrampur,Samri,Kenvjhar,1,0,0,0,0
CHHATISGARH,Balrampur,Samri,Khajuri,9,0,0,0,0
CHHATISGARH,Balrampur,Samri,Khujuriyadih,2,0,0,0,0
CHHATISGARH,Balrampur,Samri,Korandha,5,0,0,0,0
CHHATISGARH,Balrampur,Samri,Kudaag,4,0,0,0,0
CHHATISGARH,Balrampur,Samri,Kurdih,4,0,0,0,0
CHHATISGARH,Balrampur,Samri,Kusmi,4,0,0,0,0
CHHATISGARH,Balrampur,Samri,Larima,1,0,0,0,0
CHHATISGARH,Balrampur,Samri,Lavkuspur,2,0,0,0,0
CHHATISGARH,Balrampur,Samri,Lefuvatoli,2,0,0,0,0
CHHATISGARH,Balrampur,Samri,Mahuvatoli,2,0,0,0,0
CHHATISGARH,Balrampur,Samri,Mangaji,2,0,0,0,0
CHHATISGARH,Balrampur,Samri,Motinagar,2,0,0,0,0
CHHATISGARH,Balrampur,Samri,Navadihkala,3,0,0,0,0
CHHATISGARH,Balrampur,Samri,Nawadiha,3,0,0,0,0
CHHATISGARH,Balrampur,Samri,Nawgai,2,0,0,0,0
CHHATISGARH,Balrampur,Samri,Nilkanthpur,3,0,0,0,0
CHHATISGARH,Balrampur,Samri,Pakardih,5,0,0,0,0
CHHATISGARH,Balrampur,Samri,Parsa,1,0,0,0,0
CHHATISGARH,Balrampur,Samri,Podipa,3,0,0,0,0
CHHATISGARH,Balrampur,Samri,Premnagar,12,0,0,0,0
CHHATISGARH,Balrampur,Samri,Rajendrapur,4,0,0,0,0
CHHATISGARH,Balrampur,Samri,ramnagar,7,0,0,0,0
CHHATISGARH,Balrampur,Samri,Ratasili,6,0,0,0,0
CHHATISGARH,Balrampur,Samri,Samera,2,0,0,0,0
CHHATISGARH,Balrampur,Samri,sameratala,6,0,0,0,0
CHHATISGARH,Balrampur,Samri,Samri,3,0,0,0,0
CHHATISGARH,Balrampur,Samri,Serangdaag,2,0,0,0,0
CHHATISGARH,Balrampur,Samri,Shahpur,7,0,0,0,0
CHHATISGARH,Balrampur,Samri,Sirkot,1,13,0,0,0
CHHATISGARH,Balrampur,Samri,Sivlidaag,8,0,0,0,0
CHHATISGARH,Balrampur,Samri,Sonpur,2,0,0,0,0
CHHATISGARH,Balrampur,Samri,Sonvarsha,2,0,0,0,0
CHHATISGARH,Balrampur,Samri,Sukhari,2,0,0,0,0
CHHATISGARH,Balrampur,Samri,Surbena,0,11,0,0,0
CHHATISGARH,Balrampur,Samri,Tareini,2,0,0,0,0
CHHATISGARH,Balrampur,Samri,Tripuri,8,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Aasanpani,0,1,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Amartha,2,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Amera,5,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Amgaon,2,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Ayari,4,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Bada,1,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Bansdih,2,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Belkona,1,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Belsar,0,4,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Bhaeropur,6,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Bhagwanpur,1,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Bhodna,2,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Bhuneshwarpur,1,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Bijadih,3,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Chalgali,3,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Changaro,1,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Chirai,0,0,1,0,0
CHHATISGARH,Balrampur,Shankargarh,Damodarpur,0,0,1,0,0
CHHATISGARH,Balrampur,Shankargarh,Devsarakala,1,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Dipadihkala,2,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Dipadihkhurd,4,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Dohna,3,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Durgapur,0,0,1,0,0
CHHATISGARH,Balrampur,Shankargarh,Ghagharikhurd,1,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,girajapur,0,0,1,0,0
CHHATISGARH,Balrampur,Shankargarh,Hargawan,1,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Indkona,2,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Jagima,1,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Jamadi,6,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Jamhor,1,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Jampani,1,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Jarahadih,0,0,1,0,0
CHHATISGARH,Balrampur,Shankargarh,Jargim,1,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Jaswantpur,0,0,1,0,0
CHHATISGARH,Balrampur,Shankargarh,Jokapath,0,1,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Kamari,0,0,1,0,0
CHHATISGARH,Balrampur,Shankargarh,Karamikanwartoli,0,0,1,0,0
CHHATISGARH,Balrampur,Shankargarh,Karamiuranvtoli,0,1,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Khairadih,1,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Kharkona,4,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Kothli,2,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Lahsunpath,1,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Lalitpur,4,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Larangi,0,0,1,0,0
CHHATISGARH,Balrampur,Shankargarh,Lodhi,2,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Mahuwadih,7,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Mankepi,4,1,0,0,0
CHHATISGARH,Balrampur,Shankargarh,manoharpur,3,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Manpur,0,2,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Murka,0,1,0,0,0
CHHATISGARH,Balrampur,Shankargarh,navadih,2,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Nawapara,0,5,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Pahari,1,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Patewa,1,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Patna,1,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Pendardih,2,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Podikhurd,4,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Salhi,1,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Sargawan,5,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Sarima,2,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Sarnadih,2,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Sihar,0,0,1,0,0
CHHATISGARH,Balrampur,Shankargarh,Silfili,0,0,1,0,0
CHHATISGARH,Balrampur,Shankargarh,Tikni,3,0,0,0,0
CHHATISGARH,Balrampur,Shankargarh,Vinayakpur,3,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Alka,32,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Amdiha,1,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Amravatipur,34,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Asandih,11,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Babhni,25,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Badakagaon,31,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Bagainar,1,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Baikunthpur,25,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Bajara,5,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Balangi,16,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Bartikala,24,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Bartikhurd,14,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Basantpur,10,6,1,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Beliya,5,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Belsar,4,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Bengo,2,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Beto,4,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Bhagwanpurjiraat,0,4,1,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Bhagwanpurkhas,0,13,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Bhainsamuda,19,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Bhulai urf jhor,0,3,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Chakdehi,0,5,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Chalgali,35,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Chandi,5,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Chapota,0,8,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Charchari,10,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Chavarsarai,14,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Dhadhiya,26,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Dhanwar,4,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Dongro,0,0,0,0,6
CHHATISGARH,Balrampur,Vadrafnagar,Duvari,20,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Gadaur,3,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Gaina,7,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Girwani,152,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Gobara,4,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Gobardaha,2,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Gondala,45,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Govardhanpur,40,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Gudru,2,7,2,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Gurmuti,0,1,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Hardibahara,3,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Harigawan,17,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,injani,19,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Jamai,42,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Janakpur,7,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Jaurahi,11,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Jhapar,8,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Jogiyani,5,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Kachiya,26,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Kadiya,49,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Kaksena,16,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Kamalpur,15,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Karamdiha,62,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Karimati,7,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Kesari,50,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Kharra,1,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Kogwar,9,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Kolhuwa,19,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Koti,19,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Kundi,6,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Lamori,4,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Langadi,6,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Lodhi,4,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Madanpur,0,4,2,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Madna,0,1,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Mahewa,6,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Mahuli,4,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Manpur,14,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Medhari,40,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Mithilapur,20,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Mudiya,7,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Murkaul,14,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Nagvai,14,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Odari,0,16,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Padouli,16,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Pandri,9,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Parasdiha,19,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Pashupatipur,9,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Patewa,9,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Pendari,0,4,6,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Phoolidumar,3,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Phooljhar,7,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Pokhara,0,3,1,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Premnagar,41,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Raghunathnagar,1,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Rampur,24,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Rukhpur,20,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Sarhul,18,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Saruvat,5,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Savitripur,10,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Sayahi,13,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Shankarpur,4,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Shantipur,3,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Shardapur,136,40,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Shivri,7,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Sonhat,15,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Sulsuli,76,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Sursa,9,0,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Torfa,0,3,0,0,0
CHHATISGARH,Balrampur,Vadrafnagar,Virendranagar,52,0,0,0,0
CHHATISGARH,Bastar,Bakawand,Badedevda,4,0,0,0,0
CHHATISGARH,Bastar,Bakawand,Badeumargaon,1,0,0,0,0
CHHATISGARH,Bastar,Bakawand,Baniyagaon,6,0,0,0,0
CHHATISGARH,Bastar,Bakawand,Belgaon,17,0,0,0,0
CHHATISGARH,Bastar,Bakawand,Bhejaripadar,1,0,0,0,0
CHHATISGARH,Bastar,Bakawand,Chhindagaon,0,4,0,0,0
CHHATISGARH,Bastar,Bakawand,Chitalur,12,0,0,0,0
CHHATISGARH,Bastar,Bakawand,Chokanaar,1,1,0,0,0
CHHATISGARH,Bastar,Bakawand,Durakabeda,2,0,0,0,0
CHHATISGARH,Bastar,Bakawand,Goranga,0,1,0,0,0
CHHATISGARH,Bastar,Bakawand,Karanji,24,0,0,0,0
CHHATISGARH,Bastar,Bakawand,Karapavand,0,1,0,0,0
CHHATISGARH,Bastar,Bakawand,Khotalapaal,17,0,0,0,0
CHHATISGARH,Bastar,Bakawand,Kolaval,0,6,0,0,0
CHHATISGARH,Bastar,Bakawand,Korata,1,0,0,0,0
CHHATISGARH,Bastar,Bakawand,Matanaar,17,0,0,0,0
CHHATISGARH,Bastar,Bakawand,Nalapavand,3,0,0,0,0
CHHATISGARH,Bastar,Bakawand,Pathari,0,2,0,0,0
CHHATISGARH,Bastar,Bakawand,Satosha,0,3,0,0,0
CHHATISGARH,Bastar,Bakawand,Talnaar,15,0,0,0,0
CHHATISGARH,Bastar,Bakawand,Tarapur,4,0,0,0,0
CHHATISGARH,Bastar,Bastanar,Laalguda,1,0,0,0,0
CHHATISGARH,Bastar,Bastar,Aadaval,21,0,0,0,0
CHHATISGARH,Bastar,Bastar,Alwahi,1,0,0,0,0
CHHATISGARH,Bastar,Bastar,Baakel,3,0,0,0,0
CHHATISGARH,Bastar,Bastar,Badealnaar,5,0,0,0,0
CHHATISGARH,Bastar,Bastar,Bagamohalai,1,0,0,0,0
CHHATISGARH,Bastar,Bastar,Balenga,10,6,0,0,0
CHHATISGARH,Bastar,Bastar,Baniyagaon,5,0,0,0,0
CHHATISGARH,Bastar,Bastar,Bhanpuri,0,1,0,0,0
CHHATISGARH,Bastar,Bastar,Bharani,6,0,0,0,0
CHHATISGARH,Bastar,Bastar,Bhatapal,7,0,0,0,0
CHHATISGARH,Bastar,Bastar,Bhond,29,0,0,0,0
CHHATISGARH,Bastar,Bastar,Bhurashundi,4,0,0,0,0
CHHATISGARH,Bastar,Bastar,Bodanpaal,10,0,0,0,0
CHHATISGARH,Bastar,Bastar,Bodara,0,19,0,0,0
CHHATISGARH,Bastar,Bastar,Cherakur,4,0,0,0,0
CHHATISGARH,Bastar,Bastar,Chhotealnaar,4,0,0,0,0
CHHATISGARH,Bastar,Bastar,Chhurawand,1,0,0,0,0
CHHATISGARH,Bastar,Bastar,Chidaipadar,1,0,0,0,0
CHHATISGARH,Bastar,Bastar,Chitalvar,1,0,0,0,0
CHHATISGARH,Bastar,Bastar,Dubeumargaon,13,0,0,0,0
CHHATISGARH,Bastar,Bastar,Ghatakvali,7,0,0,0,0
CHHATISGARH,Bastar,Bastar,Ghatlohanga,4,0,0,0,0
CHHATISGARH,Bastar,Bastar,Ghotiya,0,0,1,0,0
CHHATISGARH,Bastar,Bastar,Goriyapaal,1,0,0,0,0
CHHATISGARH,Bastar,Bastar,Gufani,7,0,0,0,0
CHHATISGARH,Bastar,Bastar,Gunpur,1,0,0,0,0
CHHATISGARH,Bastar,Bastar,Ichchhapur,19,0,0,0,0
CHHATISGARH,Bastar,Bastar,Jharatarai,4,0,0,0,0
CHHATISGARH,Bastar,Bastar,Kabiashana,3,0,0,0,0
CHHATISGARH,Bastar,Bastar,Karandola,0,1,0,0,0
CHHATISGARH,Bastar,Bastar,Kesharpaal,1,0,0,0,0
CHHATISGARH,Bastar,Bastar,Khadaka,1,0,0,0,0
CHHATISGARH,Bastar,Bastar,Khandasara,2,0,0,0,0
CHHATISGARH,Bastar,Bastar,Khorkhosha,2,0,0,0,0
CHHATISGARH,Bastar,Bastar,Khotalapal,2,0,0,0,0
CHHATISGARH,Bastar,Bastar,Kinjolipaal,4,0,0,0,0
CHHATISGARH,Bastar,Bastar,Kohakasivni,2,2,0,0,0
CHHATISGARH,Bastar,Bastar,Kudakanaar,11,1,0,0,0
CHHATISGARH,Bastar,Bastar,Kudalgaon,4,0,0,0,0
CHHATISGARH,Bastar,Bastar,Kungarpaal,6,0,0,0,0
CHHATISGARH,Bastar,Bastar,Lamker,13,0,0,0,0
CHHATISGARH,Bastar,Bastar,Madhota,16,0,0,0,0
CHHATISGARH,Bastar,Bastar,Mavaliguda,6,0,0,0,0
CHHATISGARH,Bastar,Bastar,Mundagaon,4,0,0,0,0
CHHATISGARH,Bastar,Bastar,Nadishagar,1,0,0,0,0
CHHATISGARH,Bastar,Bastar,Nandpura,10,0,0,0,0
CHHATISGARH,Bastar,Bastar,Narayanpaal,2,0,0,0,0
